id,query,bucket,entity_type,candidate_id,candidate_label,candidate_description,candidate_score,candidate_source,candidate_url,wiki_match
QW1001,Adon olam,expression,entity,Q203,adon olam,,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q203,y
QW1001,Adon olam,expression,entity,Q204,adon olam (abraham wolf binder),,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q204,
QW1001,Adon olam,expression,entity,Q205,adon olam (robert stern),,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q205,
QW1001,Adon olam,expression,entity,Q206,"adon olam (s. w. waley, rabbi israel goldfarb)",,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q206,
QW1001,Adon olam,expression,entity,Q207,adon olam (sol zim),,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q207,
QW1001,Adon olam,expression,entity,__create__,Adon olam,,0.0,create,,
QW1001,Adon olam,expression,entity,__create__,Adon olam,,,,,
QW1010,As the Hart Panteth,expression,entity,Q279,as the hart panteth | thou art enthroned above,,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q279,
QW1010,As the Hart Panteth,expression,entity,Q1160,the day of rest,,0.5294117647058824,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1160,
QW1010,As the Hart Panteth,expression,entity,Q1158,the commandments,,0.45714285714285713,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1158,
QW1010,As the Hart Panteth,expression,entity,Q1159,the covenant,,0.4516129032258065,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1159,
QW1010,As the Hart Panteth,expression,entity,Q281,ashrei ha'ish,,0.4516129032258065,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q281,
QW1010,As the Hart Panteth,expression,entity,Q1156,the binding,,0.42857142857142855,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1156,
QW1010,As the Hart Panteth,expression,entity,Q282,ashrei–einei khol–va'anahnu (leib glantz),,0.4,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q282,
QW1010,As the Hart Panteth,expression,entity,Q283,aspects of a great miracle,,0.4,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q283,
QW1010,As the Hart Panteth,expression,entity,Q280,ashamnu,,0.3846153846153846,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q280,
QW1010,As the Hart Panteth,expression,entity,Q1157,"the cathedral of chichester, in sussex, england",,0.375,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1157,
QW1010,As the Hart Panteth,expression,entity,__create__,As the Hart Panteth,,0.0,create,,
QW1010,As the Hart Panteth,expression,entity,__create__,As the Hart Panteth,,,,,
QW1016,Barukh Habba (Psalm 118: 26-29),expression,entity,Q318,barukh habba (psalm 118: 26-29),,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q318,
QW1016,Barukh Habba (Psalm 118: 26-29),expression,entity,Q983,psalm 23,,0.7692307692307692,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q983,
QW1016,Barukh Habba (Psalm 118: 26-29),expression,entity,Q979,psalm 117,,0.7142857142857143,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q979,
QW1016,Barukh Habba (Psalm 118: 26-29),expression,entity,Q980,psalm 126,,0.7142857142857143,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q980,
QW1016,Barukh Habba (Psalm 118: 26-29),expression,entity,Q981,psalm 137,,0.7142857142857143,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q981,
QW1016,Barukh Habba (Psalm 118: 26-29),expression,entity,Q982,psalm 148,,0.7142857142857143,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q982,
QW1016,Barukh Habba (Psalm 118: 26-29),expression,entity,__create__,Barukh Habba (Psalm 118: 26-29),,0.0,create,,
QW1016,Barukh Habba (Psalm 118: 26-29),expression,entity,__create__,Barukh Habba (Psalm 118: 26-29),,,,,
QW1028,Ein keloheinu,expression,entity,Q438,ein keloheinu,,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q438,
QW1028,Ein keloheinu,expression,entity,Q439,ein kitzva...ase l'ma'an,,0.45714285714285713,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q439,
QW1028,Ein keloheinu,expression,entity,__create__,Ein keloheinu,,0.0,create,,
QW1028,Ein keloheinu,expression,entity,__create__,Ein keloheinu,,,,,
