id,query,bucket,entity_type,candidate_id,candidate_label,candidate_description,candidate_score,candidate_source,candidate_url,match
QW1001,adon olam,work,entity,Q203,adon olam,,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q203,
QW1001,adon olam,work,entity,Q204,adon olam (abraham wolf binder),,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q204,
QW1001,adon olam,work,entity,Q205,adon olam (robert stern),,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q205,
QW1001,adon olam,work,entity,Q206,"adon olam (s. w. waley, rabbi israel goldfarb)",,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q206,
QW1001,adon olam,work,entity,Q207,adon olam (sol zim),,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q207,
QW1001,adon olam,work,entity,__create__,adon olam,,,,,
QW1002,adon olam,work,entity,Q203,adon olam,,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q203,
QW1002,adon olam,work,entity,Q204,adon olam (abraham wolf binder),,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q204,
QW1002,adon olam,work,entity,Q205,adon olam (robert stern),,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q205,
QW1002,adon olam,work,entity,Q206,"adon olam (s. w. waley, rabbi israel goldfarb)",,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q206,
QW1002,adon olam,work,entity,Q207,adon olam (sol zim),,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q207,
QW1002,adon olam,work,entity,__create__,adon olam,,,,,
QW1010,as the hart panteth,work,entity,Q279,as the hart panteth | thou art enthroned above,,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q279,
QW1010,as the hart panteth,work,entity,Q1160,the day of rest,,0.5294117647058824,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1160,
QW1010,as the hart panteth,work,entity,Q1158,the commandments,,0.45714285714285713,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1158,
QW1010,as the hart panteth,work,entity,Q1159,the covenant,,0.4516129032258065,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1159,
QW1010,as the hart panteth,work,entity,Q281,ashrei ha'ish,,0.4516129032258065,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q281,
QW1010,as the hart panteth,work,entity,Q1156,the binding,,0.42857142857142855,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1156,
QW1010,as the hart panteth,work,entity,Q282,ashrei–einei khol–va'anahnu (leib glantz),,0.4,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q282,
QW1010,as the hart panteth,work,entity,Q283,aspects of a great miracle,,0.4,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q283,
QW1010,as the hart panteth,work,entity,Q280,ashamnu,,0.3846153846153846,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q280,
QW1010,as the hart panteth,work,entity,Q1157,"the cathedral of chichester, in sussex, england",,0.375,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1157,
QW1010,as the hart panteth,work,entity,__create__,as the hart panteth,,0.0,create,,
QW1010,as the hart panteth,work,entity,__create__,as the hart panteth,,,,,
QW1011,as the hart panteth,work,entity,Q279,as the hart panteth | thou art enthroned above,,1.0,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q279,
QW1011,as the hart panteth,work,entity,Q1160,the day of rest,,0.5294117647058824,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1160,
QW1011,as the hart panteth,work,entity,Q1158,the commandments,,0.45714285714285713,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1158,
QW1011,as the hart panteth,work,entity,Q1159,the covenant,,0.4516129032258065,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1159,
QW1011,as the hart panteth,work,entity,Q281,ashrei ha'ish,,0.4516129032258065,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q281,
QW1011,as the hart panteth,work,entity,Q1156,the binding,,0.42857142857142855,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q1156,
QW1011,as the hart panteth,work,entity,Q282,ashrei–einei khol–va'anahnu (leib glantz),,0.4,wikibase,https://husky.oarc.ucla.edu/wiki/Item:Q282,
